,body,bert,hate,target
10071,"My same question...they side with the groups and pols trying to defund and eliminate them?? We support them, but they don’t support OR defend us (cities burning to the ground).

Me thinks the police / sheriffs better figure out WHOSE side they are on..the Great Civil War is coming.",0,-1,0
10072,"Oh really, now he thinks there rioters, finally pulled his out of his ass!",0,0,0
10073,Legal Team made in HEAVEN for USA🙏❣️🇺🇸,0,0,0
10074,How about getting cricket playing the season!,0,0,0
10075,#dnc #billclinton #hillaryclinton #hrc #joebiden #ridinwithbiden #barackobama #michelleobama #obama #kamalaharris #ilanomar #aoc #thesquad #gop #deepstate #pedogate #pizzagate #jeffreyepstein #ghislainemaxwell #lolitaexpress #epsteinisland #pedowood #hollywood #tomhanks #hanx #oprahwinfrey #ellendegeneres #msm #cnn #msnbc #disney #abc #foxnews #netflix #fox #andersoncooper #donlemon #jackdorsey #markzuckerberg #twitter #facebook #google #bigtech #humantrafficking #sextrafficking #censorship #soros #georgesoros #chuckschumer #nancypelosi #blm #antifa #blacklivesmatter #sunrisemovement #socialism #communisim #savethechildren #saveourchildren #2a #2ndamendment #covid19 #cv19 #coronavirus #hcq #HCQworks #anthonyfauci #billgates #gatesfoundation #cdc #who #unitednations #globalist #satanist #backtheblue #trumptrain #maga #kag #trump2020,0,-1,0
10076,He should win the award for second worst hair piece in politics. The orange game show host has the worst of course,0,0,0
10077,It was called the Hitler youth movement. They were the ones who were thrown into the battle in Berlin at the end of WW2. 12 year old kids. Who’s the Nazi now?,1,1,0
10078,"I've spent my adult life fighting for Liberty, and I am excited about this new space where I can openly share my work with special people like you.

Parler accepts your right to express your thoughts, opinions and ideals online. No “throttling.” No shadow banning. Just Free Speech—our God-given, Constitutional Right.",0,0,0
10079,Welcome. Great to have you. Follow us for your favorite commentary.,0,0,0
10080,The colleges are 3D printing them or so it seems.,0,0,0
10081,Fantastic 👏👏...lets hope that video is a good omen for tomorrow 🤝,0,0,0
10082,via Weather Mate for iOS. #WeatherMate,0,0,0
10083,Unbelievable is the only word that comes to mind!,0,0,0
10084,"For 100th time, this is going to come down to the American people, what they are banking on is the American people won’t do shit!",0,0,0
10085,Thanks so much for the welcoming message!,0,0,0
10086,She is such a weirdo. Used to watch her years ago reporting from the war zones. Thought she had sense. I was really wrong on that one.,1,0,0
10087,I just joined Parler! Looking forward to meeting everyone here.,0,0,0
10088,"WAHOOOO!!! This was the show where #TheBigDilley gave us a 32 year Anniversary shout out!! 32 years tomorrow! Thank you so much
And a great show too with great music!!!
MUST WATCH!👇👇👇
 🎶🎵🎸🎧🎤🎸 
#TheDilleyShow #TheDilley300 
😊👍🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸

#MAGA #KAG #Trump2020 #Trump #WWG1WGA #QArmy #Qanon #GodIsInCharge #GrowYourOwnFood",0,0,0
10089,Love it revolt we could call it a Turkey hunt,0,0,0
10090,@FD8385 SALUTE! Hello my dear fellow America loving Patriot. Thank you and your family for all of your many sacrifices and services. May God bless and keep you and yours safe and well. UNITED WE STAND DIVIDED WE FALL 🙏🏻✌🏻❤️🇺🇸🗽,0,0,0
10091,"@Woodsky Nope not at all orange man looks good compared to dementia man any day, and he’s not orange he’s tan! And can complete sentences!",1,0,0
10092,Boycott GA... we don't want their kind here anyways.... we don't need the jobs or the money... we are doing well. There are lots of job opportunities here and Disney sure will not make or break us.....,0,-1,0
10093,@TheDesertFox I agree. Hang on. I just got a pen. Still at the restaurant. It’s pouring !!!,0,0,0
10094,Ok so why is nothing happening?,0,0,0
10095,"ACTS17:24 - 31 THE GOD WHO MADE THE UNIVERSE AND EVERYTHING IN IT, AND WHO IS LORD OF HEAVEN AND EARTH, DOES NOT LIVE IN MAN MADE TEMPLES, NOR IS HE SERVED BY HUMAN HANDS, AS IF HE LACKED SOMETHING, SINCE IT HE HIMSELF WHO GIVES LIFE AND BREATH AND EVERYTHING TO EVERYONE.From one man he made every nation living on the entire surface of the earth, and fixed the limits of their territories and the periods where they would flourish. God did this so that people would look for him and perhaps reach out and find him although in fact, He is not far from each one of us. For in Him we live and move and exist. Indeed as some of the poets among you have said, we are actually His children. So since we are children of God, we shouldn't suppose that God's essence resembles Gold, silver or stone shaped by human technique or imagination. In the past God overlooked such ignorance, but now he is commanding all people everywhere to turn from their sins. For He has set a day when He will judge the inhabit",0,0,0
10096,I want BiG Tech charged with election interference!!! Senators Cruz and Hawley and Graham revealed testimony proving this on live TV! Trump 2020🇺🇸🇺🇸🇺🇸 The greatest Fight for America of our lifetime!!!,0,0,0
10097,As if we needed another reason never to consider voting for this demented puppet,1,1,women
10098,Ha h ha. Dems are getting nervous because they know the truth of their criminal acts is close to being exposed- Trump will be back where he belongs by Christmas.,0,0,0
10099,Star on ashli’s neck where she was shot,0,0,0
10100,President Trump defends America. Joe Biden defends China.,0,0,0
10101,"Yeah, now he wants to punish Trump because HE CREATED an angry mob with his traitorous actions? Typical. No fucking accountability for their own behavior.",1,1,0
10102,wow I wonder whose side they are on ? not americas,0,0,0
10103,Rhode Island Bans ‘Ghost Guns’ w/ 10 Year Prison Sentence for Violators - GunsAmerica Digest,0,0,0
10104,"If only! I have heard her say that before, but it seems to be going nowhere.",0,0,0
10105,Can you say crisis actor? Lmao,0,0,0
10106,Well take it to court over that POS unhonorable judge... because if FRAUD is found they both go down.,0,0,0
10107,Acosta is a turd of the highest order! Hope she bitch slapped his sorry azz,1,1,immigrants
10108,"Smart move President Trump. I don’t think they’d let you talk and that’s another way to protect Biden. When he goes off, they can mute him before he makes a fool of himself.",0,0,0
10109,"Bring them all down!😡🇺🇸🦅🇺🇸🦅
 In bringing first Russiagate charge, Durham hints at other crimes | Just The News",0,-1,0
10110,"I feel like we are in a #RealTime #Hollyweird motion picture. This is an production depicting the fall of the world, to the #EliteScum trying to enslave is all.
Are we all unpaid actors in a 
Planned production & just don’t realize it??? 
Am I gonna wake up in a post apocalyptic world, in a matter of months???",0,-1,0
10111,"The Democrats are pulling a bait and switch, it was all done to insert commie Kamala in office.",1,0,0
10112,"For those American patriots who are “battling” in contested states, we know the fight is still on.
And for other 75 millions patriots who also saw through four years of daily propaganda and fakes news, fight on wherever and however you can. Proof to God that we will press forward and keep our faith.
Remember, the other candidate has every right to publicly pick his basement playmates and cheered by the lame stream media.
And for those who still haven’t accepted defeat four years ago. Again, chill and let the adults handle this one.",0,0,0
10113,Interesting. They can sell his assets in the middle of lawsuits?,0,0,0
10114,I think she wins the stupid test!,0,0,0
10115,Glad to see you here on Parler where free speech is actually alive and well. Looking forward to mixing it up with you here and keeping the truth alive in the face of the constant bias we face. Let's Go!,0,0,0
10116,Welcome to Parler. The first step towards taking back your voice. Thrilled to have you join our growing community! Share with your family & friends. Let’s have some fun. Let's Parley!,0,0,0
10117,Amazing Molly missing from Utube. Also a few others! BS,0,0,0
10118,"isso significa contar todas as cédulas legais, e não contar nenhuma cédula ilegal. Esta é a única maneira de garantir que o público tenha plena confiança em nossa eleição. Continua sendo chocante que a campanha de Biden se recuse a concordar com este princípio básico e queira que as cédulas sejam contadas mesmo que sejam fraudulentas, fabricadas ou lançadas por eleitores inelegíveis ou falecidos. Apenas uma parte envolvida em irregularidades manteria ilegalmente os observadores fora da sala de contagem – e então lutaria no tribunal para bloquear seu acesso.
“Então, o que Biden está escondendo? Não vou descansar até que o povo americano tenha a contagem de votos honesta que merece e que a democracia exige”.
– Presidente Donald J. Trump",0,-1,0
10119,that ain’t what Chris Brown said 🤭,0,0,0
10120,You are a moron. You are a useful idiot who parrots the lies in the main stream media and Facebook and Twitter. Biden is corrupt and you don’t even care. He sold his influence to foreign nations at the expense of the U.S. Try not being such an idiot and a tool for people who don’t even give a damn about you.,1,1,0
10121,Welcome to Freedom!🇺🇸🇺🇸Let me know if you have any questions! #parlerconcierge,0,0,0
10122,Welcome! For people looking for Parler tips and how tos Check out @parlersupport or the Parler Youtube page. The videos are in both places. There is also a Parler101 channel which has some good data as well.,0,0,0
10123,Honestly when have sanctions ever worked long term?? We have enemies within. These are the traitors we need to go after.We get them China has no messengers.,1,0,0
10124,New maybe I'll have friends on here at some point.,0,0,0
10125,"Fauci is only saying what ever it takes to hide what he’s really about, not got a dang thing to do with science!",0,0,0
10126,"Vince, Great to see you on here, hopefully if enough of my favorite Youtubers head on over here I can finally dump YT and be exclusively here and not have my comments deleted.",0,0,0
10127,"I've spent my adult life fighting for Liberty, and I am excited about this new space where I can openly share my work with special people like you.

Parler accepts your right to express your thoughts, opinions and ideals online. No “throttling.” No shadow banning. Just Free Speech—our God-given, Constitutional Right.",0,0,0
10128,If anyone out there can show me that Joe Biden has done more for our country than President Trump I will vote him,0,0,0
10129,Welcome. Great to have you. Follow us for your favorite commentary.,0,0,0
10130,"I been saying this for awhile, it’s not normal to hate someone like people hate Trump. There’s so much more than just hate here. You stay away from people you hate......",0,-1,0
10131,"No sacrifice, at the Americans expense, too great in order to ensure democrat power.",0,0,0
10132,Which raises yet another red flag. Win or lose Trump MUST pursue this fraud and prove it is happening nationwide.,0,0,0
10133,I just joined Parler! Looking forward to meeting everyone here.,0,0,0
10134,Sounds like a Hillary to me.,0,0,0
10135,Is there any doctors or pharmacist out that reads this I would like to know if most pharmacy have HCQ on hand,0,0,0
10136,Cuomo is a murderer and should be in prison!!!,1,1,people of color
10137,doesn't look like real money to me...hell I could do a better job on my printer.,0,0,0
10138,nevermind. You're Callie! LOL Did you get FB jail again? your new friend in badself needs to go. Lets just say she is not making friends and pissing people off.,1,0,0
10139,fuck the queen and all her minions.,1,1,women
10140,"I hope Kimberly has full custody of their son, I wouldn’t want my son around a Dad like that!!!!😡",0,0,0
10141,"Excuse me? Cancel culture on the right? It's more about misleading people. If you're not brave enough to take a stand on a particular issue and try to walk the fence, this is what's going to happen. He could have made things clear from the get-go, but the initial statement looked like a carefully crafted statement. Now, it's just attempt to please both sides while standing for nothing. And yes, it is a tragedy when life is taken but understand that Kyle Rittenhouse was not looking for a fight. Had the mayor, governor & law enforcement done their job and dispersed the looters, rioters and terrorists from Kenosha, Wisconsin, he never would have been there in the first place to take anyone's life in self-defense...",0,0,0
10142,Welcome to Parler! Help us MAKE AMERICA GREAT AGAIN by clicking the link below. Be sure to text TRUMP to 88022!,0,0,0
10143,"They stole slave labor from the blacks, stole Native American land, yea that’s what they do",0,-1,0
10144,@GFisCTTB That is right I wouldn't watch cnn and know fox is the same so why would I watch? They have changed their ideals and I'm not going too. So I look for a new home with my political and moral values.,0,0,0
10145,This fuckwit is so dumb he can’t even spell “rallies”,1,0,0
10146,If Trump loses this election it will be the most corrupt election in US history.,1,0,0
10147,@whatever17 I don’t think I could sit through the beginning of a news show without vomiting ! My choice my solution ! Frankly I find the varied news platforms far more interesting and informative,0,0,0
10148,"All these idiots here Espousing all these leftist and fascist ideals like ruining, threatening, attacking and then destroying their ability to get a job are the direct result of the Teachers unions and left wing elitist professors spewing Marxism and hatred!!!",1,1,0
10149,"This is reprehensible, they deserve to be thrown in the lions pit and to be torn apart very slowly 🤬🤬",1,1,people of color
10150,I plan to join the thank you emails.,0,0,0
10151,"Keep out the Trash, Great Job!",0,0,0
10152,Welcome to Parler! Help us MAKE AMERICA GREAT AGAIN by clicking the link below. Be sure to text TRUMP to 88022!,0,0,0
10153,Which proves she is an evil bitch. Hope she’s on the kill list,1,1,women
10154,Welcome to Parler! Help us MAKE AMERICA GREAT AGAIN by clicking the link below. Be sure to text TRUMP to 88022!,0,0,0
10155,"Yes, laws that are not being enforced.",0,0,0
10156,An insane Jury is not justice.,0,0,0
10157,"There are peaceful protests, fine, they are protected by our constitution. Leftist are so obtuse, they seemingly don’t understand the difference between lawful assembly and life endangering riots. They lump the two together bc it fits their agenda! This is exactly the way these dumbasses justify death and destruction. Don’t believe me? Start reading their elitist comments about the recent deaths & destruction. Just keep telling the truth & call out these lying SOBs for what they really are, subversive & treasonous. In certain other countries around the world, this bunch of anti-American misfits would be lined up & shot as enemies of the state!",1,1,0
10158,Welcome lol boil! You work well,0,0,0
10159,I haven't seen one Democrat attack anything but her and her cult of 1700.,1,0,0
10160,"Hoje tem live opressora no canal da Belinha Opressora no YouTube 

Link direto",0,0,0
10161,"@Sal72H Think what you want and go get it with both hands.
It's your time.
God bless.
Time to Bloom your in your prime.",0,0,0
10162,Just been booted from Twitter. On Gab now as well.,0,0,0
10163,Bless you! I worked for Seattle Cancer Care Alliance in late 2000s in the bone marrow transplant unit. You are a miracle!! 🙏🏻,0,0,0
10164,"HUGE! EXCLUSIVE BOMBSHELL: Documents Released by Ukrainian General Prosecutor’s Office Reveal MILLIONS Funneled to Hunter Biden and the John Kerry Family

REPORT👉 @KateYones",0,0,0
10165,"GOD BLESS YOU Mr Wood
Keep on fighting",0,0,0
10166,‪Love of country is so natural! Watch this beautiful patriot show up millions of haters with class 😍😍😍😍😍😍😍😍‬,0,0,0
10167,That’s disgusting. Was probably a pretty girl at one time....so sad what hate can do to a person.,0,-1,0
10168,@Gburg You see on that I agree... but that’s up to us to get people voted into congress that are for us and bring us together.... enough about divisiveness and its all about me... that sentiment has been polarized especially in the past 4 years and needs to go.... the sky will not fall on us in the next 4 years... we would have survived under trump as we will under Biden.... but only together we will have a path forward....,0,0,0
10169,"Go back to FB or Twitter, filthy snowflake!",1,0,0
10170,North Korea shows off new ICBM,0,0,0
10171,Maybe this was for a dating app and she was showing her fans one of her many talents. 🤷🏻‍♀️😂🤣,0,0,0
10172,I just joined Parler! Looking forward to meeting everyone here.,0,0,0
10173,"Broward County Florida Blacklisted pro-Trump messages on their Facebook live government feeds. But allowed Pro-Biden and Pro-BLM comments.
@ChrisNelson and I both have screen recorded evidence.",0,0,0
10174,"Yes they will... 

alone with 23 lobbies to only at French Laundry",0,-1,0
10175,"@Dingys And speaking of hatred, it is the Jews that are the actual haters and the actual supremacists.",1,1,jewish people
10176,"NYC Just defunded the very people that ran into the burning towers on 9/11. 

Think about it.",0,-1,0
10177,What history? Drag queens and bathroom lurkers!,1,0,0
10178,Very few people actually die of covid. This was a massive propaganda job.,0,0,0
10179,I agree with your observation. I only hope that the tech giants will take this rope and ..... drive free thinking people to new platforms ultimately diminishing their power.,0,0,0
10180,There are a lot of good departments in mostly red cities that support police. Go to one of those.,0,0,0
10181,"ACTUALLY THAT. IS. VERY VERY TRUE ‼️‼️‼️‼️

 Build a CASINO. 

NO STIMULUS ❓❓❓❓. 

 No ...... and 😡. No ....

Trudeau has lined his Pockets 

We would. Love 💕 to have PRESIDENT TRUMP ‼️",0,-1,0
10182,"@MrsDianaK I understand your disbelief, one can't make this shit up. Here's the link to MIT see it for yourself:",0,0,0
10183,Omgosh i give up. I dont speak harris biden,0,0,0
10184,"I think it begins when it is at your doorstep. To me, attacking a local business is ""at your doorstep."" A lot of people are worried about legal implications, being arrested for doing what you have to do. I respect and support law enforcement but if they are more loyal to their pensions and paychecks or to their local tyrannical Dem mayors or govenors, they become part of the problem. They may have to make a decision on wheather or not following orders is the right thing to do. You have to remember, during the Nazi occupation of parts of Europe, local police collaborated and even helped round up their fellow Jews in places like Ukrain 🇺🇦, Poland 🇵🇱 and Belarus 🇧🇾. It may take several more Wacos(I hope not) to get that point across.",1,0,0
10185,Lmao.. geez.. were do they get u from.. planet CNN..🤣🤣.. there's been many many people to prove this wrong and rose up outa poverty by working hard n long,0,-1,0
10186,I want to know how far gone society has to be common sense wise before more people begin to realize this is just a natural and should be completely expected result of covering your face all the time. Healthy people should not wear masks.,0,0,0
10187,"Hundreds of thousands of people die world wide each day........the earth also spins around each day. 
Logic dictates, the rotation of the earth is causing hundreds of thousands of deaths each day. 
This is a pandemic people!!!!!
We must stop the rotation of the earth!!",0,-1,0
10188,"I don’t know why there isn’t already a Special Counsel and an investigation in progress. Is it just me or do investigations only occur against Republicans? I’m still waiting for #crookedhillaryrotten to be indicted #neverforgetbenghazi 
#indictbeijingjoe
#investigatebidens",0,-1,0
10189,Welcome. Great to have you. Follow us for your favorite commentary.,0,0,0
10190,They are mighty creatures in the Bible. 💪✝️🙏❤️🇺🇸❤️,0,0,0
10191,That’s it....that’s where Beijing Biden wants to take us..... well are you ready pink?😂🤣😂,0,0,0
10192,This is just a smoke screen! No one will be indicted! McConnell just congratulated Biden/ Harris on their win! He is clueless and spineless! He wants to play nice when we need to RESIST RESIST RESIST!! At least crying Chuckie Schumer stood firm on his promise to resist. McConnell needs to go! He is a disgrace!!!,1,0,0
10193,"They all
Got the CCP vax last fall.",0,0,0
10194,Welcome to Parler. I will see you in the comments. Please leave a review on the app stores and share with your friends!,0,0,0
10195,Praying for them and their family 🙏,0,0,0
10196,"I'm re-thinking my attitude about never blacklisting people. Then again, it is that leftist dolt, Bernstein, posting this claim.",0,0,0
10197,I just joined Parler! Looking forward to meeting everyone here.,0,0,0
10198,Welcome to Parler! Help us MAKE AMERICA GREAT AGAIN by clicking the link below. Be sure to text TRUMP to 88022!,0,0,0
10199,"I never laugh at you..

We laugh at others together. 

It contains small amounts of the others. But not enough. 

Vitamin D3 is the most important of the bunch.",0,0,0
10200,"I can’t agree more with these sentiments, France has always been a piece of shit with terrible people, may they perish quickly",1,1,0
10201,"@Donald_parker I believe he is referring to the lie (presenting itself as a news story) where Pres. Trump allegedly called dead veterans ""suckers"" and/or ""losers.""",1,1,0
10202,Mr president please do NOT sign that stimulus bill!!!!! The American people will continue on as we have .. allowing more money overseas than to us is worse than nothing at all!!,0,0,0
10203,"And thank you for bringing the truth, Dan.",0,0,0
10204,"@Wwago67944 The DOJ has been complicent in virtually all of the coup against Trump. He is a threat to them and their entrenched power. They are as big a part of the swamp as any other government agency. Again, we need the military to step in...or our country is done...",1,0,0
10205,Then why is Joe Exotic behind bars?! WTF,0,0,0
10206,Welcome to Parler! Help us MAKE AMERICA GREAT AGAIN by clicking the link below. Be sure to text TRUMP to 88022!,0,0,0
10207,Roberts has no business on the Supreme Court . He is a pussy without a backbone.,1,0,0
10208,"He should go straight to hell. 
Do not collect $200 go straight to hell.",1,1,0
10209,Pretty sad commentary on the U.S,0,0,0
10210,Welcome to Parler. The first step towards taking back your voice. Thrilled to have you join our growing community! Share with your family & friends. Let’s have some fun. Let's Parley!,0,0,0
10211,I want to know what book and who as well.,0,0,0
10212,I guess Biden took back the lead. Dammit.,0,0,0
10213,Welcome! For people looking for Parler tips and how tos Check out @parlersupport or the Parler Youtube page. The videos are in both places. There is also a Parler101 channel which has some good data as well.,0,0,0
10214,"The left is willing to destroy the country to get what they want. Get these scumbags out of power!

#DefundDemocrats",1,1,0
10215,"""I was set up."" Wow. It took a long time for the Marion Barry defense to catch on with the Democrats.",0,0,0
10216,"@RobertHartley I do my bit, so don't judge...",0,0,0
10217,"Republicans have always dealt with bias mediators and have allowed these bias individuals to take charge of debates, I've never understood how they select them? And why they agree? It should be a fair non bias individual asking questions. But, you are absolutely right Trumpis debatingtwo people.",0,0,0
10218,Shared using 63red Conservative Social News Network.,0,0,0
10219,Welcome. Great to have you. Follow us for your favorite commentary.,0,0,0
10220,Responding to a Progressive on Election Fraud Evidence,0,0,0
10221,Hope he hasn’t quit his current job bc Trump isn’t going anywhere after these lawsuits are complete!,0,0,0
10222,"Welcome @Jimvukovich, I'm glad you're part of Parler.
If you're truly Trump supporter you can follow me for more content.",0,0,0
